Date,county,state,fips,cases,deaths,total
7/10/2022,Autauga,Alabama,1001,16801,217,17018
7/10/2022,Baldwin,Alabama,1003,59743,683,60426
7/10/2022,Barbour,Alabama,1005,5993,99,6092
7/10/2022,Bibb,Alabama,1007,6767,105,6872
7/10/2022,Blount,Alabama,1009,15506,246,15752
7/10/2022,Bullock,Alabama,1011,2501,54,2555
7/10/2022,Butler,Alabama,1013,5333,129,5462
7/10/2022,Calhoun,Alabama,1015,33603,634,34237
7/10/2022,Chambers,Alabama,1017,8940,163,9103
7/10/2022,Cherokee,Alabama,1019,5324,86,5410
7/10/2022,Chilton,Alabama,1021,11436,211,11647
7/10/2022,Choctaw,Alabama,1023,2114,37,2151
7/10/2022,Clarke,Alabama,1025,7372,101,7473
7/10/2022,Clay,Alabama,1027,4266,83,4349
7/10/2022,Cleburne,Alabama,1029,3632,69,3701
7/10/2022,Coffee,Alabama,1031,14370,236,14606
7/10/2022,Colbert,Alabama,1033,17217,262,17479
7/10/2022,Conecuh,Alabama,1035,3008,70,3078
7/10/2022,Coosa,Alabama,1037,3106,59,3165
7/10/2022,Covington,Alabama,1039,9829,235,10064
7/10/2022,Crenshaw,Alabama,1041,4000,102,4102
7/10/2022,Cullman,Alabama,1043,25899,369,26268
7/10/2022,Dale,Alabama,1045,13656,233,13889
7/10/2022,Dallas,Alabama,1047,8904,245,9149
7/10/2022,DeKalb,Alabama,1049,19293,331,19624
7/10/2022,Elmore,Alabama,1051,24794,350,25144
7/10/2022,Escambia,Alabama,1053,10560,173,10733
7/10/2022,Etowah,Alabama,1055,29554,653,30207
7/10/2022,Fayette,Alabama,1057,5092,97,5189
7/10/2022,Franklin,Alabama,1059,10162,140,10302
7/10/2022,Geneva,Alabama,1061,6784,165,6949
7/10/2022,Greene,Alabama,1063,1985,51,2036
7/10/2022,Hale,Alabama,1065,5017,106,5123
7/10/2022,Henry,Alabama,1067,4860,78,4938
7/10/2022,Houston,Alabama,1069,27230,509,27739
7/10/2022,Jackson,Alabama,1071,15513,241,15754
7/10/2022,Jefferson,Alabama,1073,198151,2390,200541
7/10/2022,Lamar,Alabama,1075,3902,65,3967
7/10/2022,Lauderdale,Alabama,1077,25317,400,25717
7/10/2022,Lawrence,Alabama,1079,7936,160,8096
7/10/2022,Lee,Alabama,1081,39839,342,40181
7/10/2022,Limestone,Alabama,1083,26482,298,26780
7/10/2022,Lowndes,Alabama,1085,2775,77,2852
7/10/2022,Macon,Alabama,1087,4151,86,4237
7/10/2022,Madison,Alabama,1089,96424,981,97405
7/10/2022,Marengo,Alabama,1091,5452,108,5560
